Semantics	Syntax	Semantic_classes_of_nouns	Pejorative	Chained	Associated_verbs	Left_context	Center	Punct	Right_context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Full_context
Instrument	Ins verb-governed	Concrete		no	уравновешивать	 московской жизни он балансировал, уравновешивая 	 кружки 	  	"кружками; в таком отделеньи себя "	Андрей Белый. Между двух революций (1934) 	Андрей Белый 	1880 	Между двух революций 	1934 	художественная 	мемуары 	 	Андрей Белый. Между двух революций 	1990 	"  Этот властный порыв его дружбы порой отзывался нажимом на волю; и появлялась невольная задержь, которая в нем вызывала приемы разведки по отношению к моему душевному миру, вполне инстинктивные; между течениями московской жизни он балансировал, уравновешивая кружки кружками; в таком отделеньи себя ото всех думал он уберечься от и его разъедавшего московского «хаоса»; он был слишком «москвич», несмотря ни на что; и, спасаясь от хаоса  , баррикадировался Чемберленами, Зиммелями, не понимая: последние ― вовсе не «немцы» его, а скорей представители той глубокомысленной тусклости, из-под которой уже осаждалися: в Чемберлене ― фашизм, а в Зиммеле ― метафизика; Метнер не был империалистом, конечно; но он, гипертрофировавши арийство, проявлял культурное высокомерие ко всему неарийскому; в ахиллесову пяту его укусывало мещанство; этот «немецкий» русский был подобен «русско-французу» д'Альгейму; а все, исходящее из «Дома песни», считал  для меня и для Коли, брата, ― отравой.  [Андрей Белый. Между двух революций (1934)] [омонимия не снята]"
Instrument	Ins verb-governed	Concrete		no	ударять	 пришедшие чуть пораньше ударяли их 	 кулаки 	  	кулаками: «Это лютых не любят 	Марина Вишневецкая. Вышел месяц из тумана (1997) 	Марина Вишневецкая 	1955 	Вышел месяц из тумана 	1997 	художественная 	повесть, рассказ 	 	Марина Вышневецкая. Вышел месяц из тумана 	1998 	 , а пришедшие чуть пораньше ударяли их кулаки кулаками: «Это лютых не любят!»  [Марина Вишневецкая. Вышел месяц из тумана (1997)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete		no	сидеть	 ясно.  А то сидим тут ― 	 опенки 	  	опенками.  Соль всю в сельпе 	Евгений Носов. Усвятские шлемоносцы (1977) 	Евгений Носов 	1925 	Усвятские шлемоносцы 	1977 	художественная 	повесть 	 	Евгений Носов. Избранные произведения в 2-х т. - Т. 2 	1983 	 ― Теперича все ясно.  А то сидим тут ― опенки опенками.  Соль всю в сельпе подчистили, карасин-спички.  [Евгений Носов. Усвятские шлемоносцы (1977)] [омонимия не снята]
Instrument	Ins verb-governed	Concrete		no	сжать	" при упоминаньи о плоти; сжав "	 пальцы 	  	пальцами, откидывалась она в спинку 	Андрей Белый. Между двух революций (1934) 	Андрей Белый 	1880 	Между двух революций 	1934 	художественная 	мемуары 	 	Андрей Белый. Между двух революций 	1990 	" Карелина впоследствии пленялась стихами троюродного внука, Саши Блока; а Коваленская в пику ей все похваливала меня и таяла от стихов Эллиса; Карелина любила браки и всякую плоть; Коваленская кривилась при упоминаньи о плоти; сжав пальцы пальцами, откидывалась она в спинку кресла; всякая уютность слетала; она делалась лихою старушкою.  [Андрей Белый. Между двух революций (1934)] [омонимия не снята]"
Instrument	Ins verb-governed	Concrete		no	ломать	 вас: и потом ломал свои 	 пальцы 	  	"пальцами, а пальцы ― хрустели; и "	Андрей Белый. Начало века (1930) 	Андрей Белый 	1880 	Начало века 	1930 	художественная 	мемуары 	 	Андрей Белый. Начало века 	1990 	"  И то же случалось, когда, обхвативши руками колено, глазами он высасывал вас: и потом ломал свои пальцы пальцами, а пальцы ― хрустели; и делалось страшно от этого, и казалось, что он ― флагеллант, а не следователь; казалось: отпустив посетителя, с себя сорвавши одежды, схвативши нагайку, во славу «святого» Петрова и детских приютов отхлещет себя он!  [Андрей Белый. Начало века (1930)] [омонимия не снята]"
Extreme	Ins verb-governed	Human + animals		no	жить	 живем, господи, на краю света ― 	 свиньи 	  	свиньями».  	А. Н. Толстой. Петр Первый. Книга вторая (1933) 	А. Н. Толстой 	1882 	Петр Первый. Книга вторая 	1933 	художественная 	роман 	 	А. Н. Толстой. Петр Первый 	1974 	 Иван Артемич, слушая, вздыхал: «А мы-то живем, господи, на краю света ― свиньи свиньями».  [А. Н. Толстой. Петр Первый. Книга вторая (1933)] [омонимия не снята]
Instrument	Ins verb-governed	Concrete		no	делать	 в нашем представлении и делает 	 стихи 	  	стихами, а экзамен ― экзаменом.  	И. Иткин. Ответы и решения // «Наука и жизнь», 2006 	И. Иткин 	 	Ответы и решения 	2006 	учебно-научная ,  нехудожественная 	комментарий 	наука и технологии, филология 	«Наука и жизнь» 	2006 	 По-видимому, здесь реализована идея отсутствия чего-то, что в нашем представлении и делает стихи стихами, а экзамен ― экзаменом.  [И. Иткин. Ответы и решения // «Наука и жизнь», 2006] [омонимия не снята]
Extreme	Nom verb-governed	Human + animals		no	быть	 трудно пожаловаться.  Еще из дворян ― 	 бирюки 	  	бирюками.  Остальные просто не знают 	В. И. Немирович-Данченко. Святые горы (1880) 	В. И. Немирович-Данченко 	1848 	Святые горы 	1880 	художественная 	очерк, цикл 	 	В. В. Немирович-Данченко. Сочинения. Том.2. Из книги паломничеств и путешествий 	1996 	" На нерадушие монахов здесь трудно пожаловаться.  Еще из дворян ― бирюки бирюками.  Остальные просто не знают, как принять, куда посадить; по лицу видно, что рады вам, как дорогому гостю, только разговаривать боятся…  [В. И. Немирович-Данченко. Святые горы (1880)] [омонимия не снята]"
Extreme	Nom verb-governed	Human + animals		no	быть	 сами что риэлторы, что арендодатели ― 	 бичи 	  	бичами, все имущество это бабушкина 	коллективный. Форум: Риэлторы (2012) 	коллективный 	 	Форум: Риэлторы 	2012 	электронная коммуникация, нехудожественная 	блог, форум 	бизнес, коммерция, экономика, финансы 	 	 	 [Roman Zubrov, муж]   А сами что риэлторы, что арендодатели ― бичи бичами, все имущество это бабушкина квартира, не заработанная своим трудом.  [коллективный. Форум: Риэлторы (2012)] [омонимия не снята]
Paragon	Acc verb-governed	Concrete		yes	выпускать	  Шампунем.  Выпускает завод 	 гвозди 	 ―  	гвоздями.  Мыло ― мылом.  	Светлана Алексиевич. Время second-hand // «Дружба народов», 2013 	Светлана Алексиевич 	1948 	Время second-hand 	2013 	художественная 	повесть 	 	«Дружба народов» 	2013 	 Шампунем.  Выпускает завод гвозди ― гвоздями.  Мыло ― мылом.  [Светлана Алексиевич. Время second-hand // «Дружба народов», 2013] [омонимия не снята]
Paragon	Nom verb-governed	Concrete		no	быть	 И барки эти тоже ― ну 	 гробы 	  	гробами…  	Алексей Иванов. Message: Чусовая. Части 6-7 (2007) 	Алексей Иванов 	1969 	Message: Чусовая. Части 6-7 	2007 	публицистика, нехудожественная 	монография 	география, природа, история 	 	 	 И барки эти тоже ― ну гробы гробами…  [Алексей Иванов. Message: Чусовая. Части 6-7 (2007)] [омонимия не снята]
Paragon	Nom verb-governed	Concrete		no	расти	 не потому, что растут деньги, ― 	 деньги 	  	деньгами, ― но потому, что все 	Н. В. Гоголь. Мертвые души (1842) 	Н. В. Гоголь 	1809 	Мертвые души 	1842 	художественная 	роман 	 	Н. В. Гоголь. Собрание сочинений в 7 томах 	1978 	" И не потому, что растут деньги, ― деньги деньгами, ― но потому, что все это ― дело рук твоих; потому, что видишь, как ты всему причина и творец всего, и от тебя, как от какого-нибудь мага, сыплется изобильем добро на все.  [Н. В. Гоголь. Мертвые души (1842)] [омонимия не снята]"
Paragon	Nom verb-governed	Concrete		yes	быть	  Все наособицу: 	 дома 	  	домами, колодцы колодцами, бани банями 	Федор Абрамов. Пелагея (1967) 	Федор Абрамов 	1920 	Пелагея 	1967 	художественная 	рассказ 	 	Абрамов Ф. А. Деревянные кони: Повести и рассказы 	1978 	 Все наособицу: дома домами, колодцы колодцами, бани банями ― на задах, у черта на куличках.  [Федор Абрамов. Пелагея (1967)] [омонимия не снята]
Extreme	Nom verb-governed	Human + animals		no	быть	  ― Воспиталки тоже всякие, есть 	 дуры 	  	дурами, которые ниче, ходят в 	Виктор Астафьев. Последний поклон (1968-1991) 	Виктор Астафьев 	1924 	Последний поклон 	1968-1991 	художественная 	повесть, рассказ, цикл 	 	Собрание сочинений в пятнадцати томах. Том 5 	1997 	 ― Воспиталки тоже всякие, есть дуры дурами, которые ниче, ходят в детдом все равно как на лесобиржу доски складывать.  [Виктор Астафьев. Последний поклон (1968-1991)] [омонимия не снята]
Extreme	Nom verb-governed	Human + animals		no	быть	 носят да рядятся, а так-то 	 дуры 	  	дурами.  	Д. Н. Мамин-Сибиряк. Хлеб (1895) 	Д. Н. Мамин-Сибиряк 	1852 	Хлеб 	1895 	художественная 	роман 	 	Д. Н. Мамин-Сибиряк. Собр.соч.в 8 томах 	1955 	 Тем и отличаются от деревенских девок, что шляпки носят да рядятся, а так-то дуры дурами.  [Д. Н. Мамин-Сибиряк. Хлеб (1895)] [омонимия не снята]
Extreme	Nom verb-governed	Human + animals		no	быть	 не чета деревенским мужичьим клячам, 	 слоны 	  	слонами.  	П. И. Мельников-Печерский. В лесах. Книга первая (1871-1874) 	П. И. Мельников-Печерский 	1818 	В лесах. Книга первая 	1871-1874 	художественная 	роман 	 	П. И. Мельников-Печерский. Собрание сочинений 	1976 	 Сыплют им овса, задают сено без счета, без меры, зато и кони были не чета деревенским мужичьим клячам, слоны слонами.  [П. И. Мельников-Печерский. В лесах. Книга первая (1871-1874)] [омонимия не снята]
Extreme	Ungoverned	Abstract		no	быть	 идет кто-то, сразу собранность, страх ― 	 страдания 	- 	страданиями, но никаких таких приключений 	Юрий Гук. Время напрягов — внутреннее расследование // «Пятое измерение», 2003 	Юрий Гук 	 	Время напрягов — внутреннее расследование 	2003 	публицистика ,  нехудожественная 	очерк 	частная жизнь 	«Пятое измерение» 	2003 	  Когда ситуация вдруг становилась подозрительней, ну, идет кто-то, сразу собранность, страх ― страдания-страданиями, но никаких таких приключений чего-то не хочется.  [Юрий Гук. Время напрягов — внутреннее расследование // «Пятое измерение», 2003] [омонимия не снята]
Paragon	Nom verb-governed	Human + animals		no	быть	 картинки писаные, а мои всё 	 цыганята 	  	цыганятами…  	А. И. Левитов. Целовальничиха (1861) 	А. И. Левитов 	1835 	Целовальничиха 	1861 	художественная 	очерк 	 	Левитов А. И. Сочинения 	1977 	 Те как картинки писаные, а мои всё цыганята цыганятами…  [А. И. Левитов. Целовальничиха (1861)] [омонимия не снята]
Paragon	Nom/Ins verb-governed	Concrete		no	стоять	 Два гостя застыли!  Долго стояли, 	 истуканы 	  	истуканами.  Я, если б мне 	Ярослав Веров. Никогда не отвечайте незнакомцам // «Наука и жизнь», 2009 	Ярослав Веров 	 	Никогда не отвечайте незнакомцам 	2009 	художественная 	рассказ 	 	«Наука и жизнь» 	2009 	  Два гостя застыли!  Долго стояли, истуканы истуканами.  Я, если б мне не так страшно было, мог бы даже руками их потрогать.  [Ярослав Веров. Никогда не отвечайте незнакомцам // «Наука и жизнь», 2009] [омонимия не снята]
Extreme	Nom/Ins verb-governed	Human + animals		no	потянуться	 За нею, понятно, все потянулись 	 овцы 	  	овцами…  	А. В. Амфитеатров. Марья Лусьева (1903) 	А. В. Амфитеатров 	1862 	Марья Лусьева 	1903, 1927 	художественная 	роман 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 2 	2000 	 За нею, понятно, все потянулись овцы овцами…  [А. В. Амфитеатров. Марья Лусьева (1903)] [омонимия не снята]
Extreme	Nom/Ins verb-governed	Human + animals		no	быть	 два казаха в армии были ― 	 чурки 	 ―  	чурками, а всех обыгрывали, пока 	Дмитрий Каралис. Автопортрет (1999) 	Дмитрий Каралис 	1949 	Автопортрет 	1999 	художественная 	дневник 	 	Дмитрий Каралис. Автопортрет 	1999 	 У нас два казаха в армии были ― чурки ― чурками, а всех обыгрывали, пока им морды не набили.  [Дмитрий Каралис. Автопортрет (1999)] [омонимия не снята]
Extreme	Ungoverned	Human + animals		no		 	 дуры 	   	дурами ― ни встать, ни сесть 	П. И. Мельников-Печерский. На горах. Книга первая (1875-1881) 	П. И. Мельников-Печерский 	1818 	На горах. Книга первая 	1875-1881 	художественная 	роман 	 	П. И. Мельников-Печерский. Собрание сочинений 	1976 	дуры  дурами ― ни встать, ни сесть не умеют, а чтоб с хорошими людьми беседу вести, про то и думать нечего.  [П. И. Мельников-Печерский. На горах. Книга первая (1875-1881)] [омонимия не снята]
Extreme	Ungoverned	Human + animals		no		 срубы, и хоть бы что — 	 молодцы 	  	молодцами!»  	Ю. М. Нагибин. Огненный протопоп (1972-1979) 	Ю. М. Нагибин 	1920 	Огненный протопоп 	1972-1979 	художественная 	рассказ 	 	Ю. М. Нагибин. Остров любви. Повести 	1985 	 «Вот, тринадцать лет невылазно населяли утопленные в земле срубы, и хоть бы что — молодцы молодцами!»  [Ю. М. Нагибин. Огненный протопоп (1972-1979)] [омонимия не снята]
Extreme	Ungoverned	Concrete		no		   Не знаю, почему 	 мурашки 	- 	мурашками по спине, но мне 	К. С. Петров-Водкин. Моя повесть. Часть 2. Пространство Эвклида (1932) 	К. С. Петров-Водкин 	1878 	Моя повесть. Часть 2. Пространство Эвклида 	1932 	художественная 	повесть 	 	Петров-Водкин К. С. Хлыновск. Пространство Эвклида. Самаркандия 	1970 	  Не знаю, почему мурашки-мурашками по спине, но мне понравилось, что бандит назвал меня по профессии.  [К. С. Петров-Водкин. Моя повесть. Часть 2. Пространство Эвклида (1932)] [омонимия не снята]
Topic change	Ungoverned	Abstract		no		  Иными словами, 	 авантюры 	  	авантюрами, а о крепких тылах 	Гардеробная революция (2002) // «Домовой», 2002.06.04 	 	 	Гардеробная революция 	2002 	публицистика ,  нехудожественная 	гороскоп 	частная жизнь 	«Домовой» 	2002.06.04 	 Иными словами, авантюры авантюрами, а о крепких тылах не забывайте и ни в коем случае их, тылов, не обижайте.  [Гардеробная революция (2002) // «Домовой», 2002.06.04] [омонимия не снята]
Topic change	Ungoverned	Human + animals		yes		 блок агрессоров ― военным блоком, а 	 агрессоры 	 ―  	агрессорами.  	И. В. Сталин. Отчетный доклад на XVIII съезде партии о работе ЦК ВКП(Б) // «Правда», 1939 	И. В. Сталин 	1878 	Отчетный доклад на XVIII съезде партии о работе ЦК ВКП(Б) 	1939 	публицистика ,  нехудожественная 	доклад 	политика и общественная жизнь 	«Правда» 	1939 	 Война так и осталась войной, военный блок агрессоров ― военным блоком, а агрессоры ― агрессорами.  [И. В. Сталин. Отчетный доклад на XVIII съезде партии о работе ЦК ВКП(Б) // «Правда», 1939] [омонимия не снята]
Topic change	Ungoverned	Human + animals		yes		 баптисты остаются баптистами, пятидесятники ― пятидесятниками, 	 адвентисты 	 ―  	адвентистами и т. д.  	Э. Филимонов. Религиозный экстремизм: идеологическая и социальная сущность // «Наука и религия», 1984 	Э. Филимонов 	 	Религиозный экстремизм: идеологическая и социальная сущность 	1984 	публицистика, нехудожественная 	статья 	политика и общественная жизнь 	«Наука и религия» 	1984 	 Нет, баптисты остаются баптистами, пятидесятники ― пятидесятниками, адвентисты ― адвентистами и т. д.  [Э. Филимонов. Религиозный экстремизм: идеологическая и социальная сущность // «Наука и религия», 1984] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		   	 Аналитики 	  	аналитиками, но нельзя не видеть 	Полный текст доклада Владимира Устинова // «Газета», 2003 	 	 	Полный текст доклада Владимира Устинова 	2003 	публицистика ,  нехудожественная 	статья 	политика и общественная жизнь 	«Газета» 	2003 	  Аналитики аналитиками, но нельзя не видеть очевидное.  [Полный текст доклада Владимира Устинова // «Газета», 2003] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		 Селима его любимого красного вина.  	 Анархисты 	  	анархистами, а пить не умеют 	Дмитрий Быков. Орфография (2002) 	Дмитрий Быков 	1967 	Орфография 	2002 	художественная 	роман 	 	Быков Д. «Орфография» 	2003 	 Наискосок краснела лужа рвоты ― кто-то хорошо попил у Селима его любимого красного вина.  Анархисты анархистами, а пить не умеют.  Как ни странно, около участка не было никакой стражи.  [Дмитрий Быков. Орфография (2002)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Анекдоты 	  	анекдотами, а интеллигенты чувствовали себя 	И. М. Дьяконов. Книга воспоминаний. Глава пятая (1929-1932) (1995) 	И. М. Дьяконов 	1915 	Книга воспоминаний. Глава пятая (1929-1932) 	1995 	публицистика ,  нехудожественная 	мемуары 	 	 	1995 	 Анекдоты анекдотами, а интеллигенты чувствовали себя неуютно: любой из них был в десятки раз состоятельнее тех крестьян, которые считались зажиточными (а потому ― элементами капитализма в деревне, а потому в двадцать четыре секунды экспроприировались ― лишались всего до последней копейки и тряпки и ссылались на Крайний Север и в Сибирь: мужчины ― отдельно, а женщины и дети ― отдельно).  [И. М. Дьяконов. Книга воспоминаний. Глава пятая (1929-1932) (1995)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 ногами, она остро чувствовала, что 	 аплодисменты 	  	аплодисментами, а этот немолодой элегантный 	Ирина Безладнова. Дина // «Звезда», 2003 	Ирина Безладнова 	 	Дина 	2003 	художественная 	повесть 	 	«Звезда» 	2003 	" С зятем она осталась на «вы», послушно и не без удовольствия посещала его концерты; но когда он выходил на аплодисменты и, раскланиваясь, как-то слегка подгарцовывал на месте, породисто семеня своими обутыми в лак ногами, она остро чувствовала, что аплодисменты аплодисментами, а этот немолодой элегантный господин не имеет никакого отношения ни к ней самой, ни, тем более, к ее дочери.  [Ирина Безладнова. Дина // «Звезда», 2003] [омонимия не снята]"
Topic change	Ungoverned	Human + animals		no		  Ребята тогда решили, что 	 бабы 	  	бабами, а мужская дружба ― это 	Маша Трауб. Ласточ…ка (2012) 	Маша Трауб 	1976 	Ласточ…ка 	2012 	художественная 	роман 	 	Маша Трауб. Ласточ…ка 	2012 	 Ребята тогда решили, что бабы бабами, а мужская дружба ― это мужская дружба.  [Маша Трауб. Ласточ…ка (2012)] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		 всяком же случае будь здоров.  	 Бабы 	  	бабами, а я на боковую 	Ал. П. Чехов. Письма Антону Павловичу Чехову (1883) 	Ал. П. Чехов 	1855 	Письма Антону Павловичу Чехову 	1883 	бытовая ,  нехудожественная 	письмо личное 	частная жизнь 	Александр и Антон Чеховы. Воспоминания. Переписка 	2012 	 Во всяком же случае будь здоров.  Бабы бабами, а я на боковую.  В карты не играю, водки с приезда из Москвы не пью, Катька спит ― бить некого, времени два часа, корреспонденцию самого ехидного характера уже написал, глаза слипаются, буквы двоятся, вместо «покоя» выходит «пп», вместо «тверда» ― «ти», остается только спать, что я привожу в исполнение и чего и тебе желаю…  [Ал. П. Чехов. Письма Антону Павловичу Чехову (1883)] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		" травы и побрела к Ирке; "	 бандиты 	  	бандитами, а ей нужна моя 	Ю. И. Андреева. Многоточие сборки (2009) 	Ю. И. Андреева 	1969 	Многоточие сборки 	2009 	художественная проза 	повесть 	 	Андреева Юлия. Многоточие сборки. СПб.: Лениздат, 2010 	2010 	"  С трудом унимая дрожь в руках, я кое-как собрала рассыпанные по днищу рюкзака травы и побрела к Ирке; бандиты бандитами, а ей нужна моя помощь.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята]"
Paragon	Ungoverned	Concrete		yes		 наособицу: дома домами, колодцы колодцами, 	 бани 	  	банями ― на задах, у черта 	Федор Абрамов. Пелагея (1967) 	Федор Абрамов 	1920 	Пелагея 	1967 	художественная 	рассказ 	 	Абрамов Ф. А. Деревянные кони: Повести и рассказы 	1978 	 Все наособицу: дома домами, колодцы колодцами, бани банями ― на задах, у черта на куличках.  [Федор Абрамов. Пелагея (1967)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Баррикады 	- 	баррикадами, но с вашей стороны 	А. И. Солженицын. Бодался теленок с дубом (1967-1974) 	А. И. Солженицын 	1918 	Бодался теленок с дубом 	1967-1974 	публицистика ,  нехудожественная 	мемуары 	 	А. Солженицын. «Бодался телёнок с дубом»: Очерки литературной жизни 	1975 	 Баррикады-баррикадами, но с вашей стороны что-то много мягкой мебели натащено.  [А. И. Солженицын. Бодался теленок с дубом (1967-1974)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		   Но ужин ужином, 	 беседы 	  	беседами, а главное ― завтрашняя рыбалка 	Борис Екимов. Рассказы // «Новый Мир», 2002 	Борис Екимов 	1938 	Рассказы 	2002 	художественная 	рассказ 	 	«Новый Мир» 	2002 	  Но ужин ужином, беседы беседами, а главное ― завтрашняя рыбалка, к ней надо готовиться.  [Борис Екимов. Рассказы // «Новый Мир», 2002] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Битвы 	  	битвами, но перевод Библии на 	Лев Аннинский. Русь — взгляд из-под голицы // «Наука и жизнь», 2008 	Лев Аннинский 	1934 	Русь — взгляд из-под голицы 	2008 	публицистика ,  нехудожественная 	предисловие, послесловие 	история 	«Наука и жизнь» 	2008 	 Битвы битвами, но перевод Библии на русский язык, изобретение сейсмографа, восстановление послепожарной Москвы, южно-русское виноделие, диагностика «ядерной зимы» (в недавнюю эпоху атомного психоза) и глобальное потепление (сегодня) ― и везде Голицыны на первых ролях.  [Лев Аннинский. Русь — взгляд из-под голицы // «Наука и жизнь», 2008] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		  «	 Блины 	  	блинами, ― сказал отец Григорий, ― а 	С. П. Жихарев. Записки современника (1806-1809) 	С. П. Жихарев 	1787 	Записки современника 	1806-1809 	публицистика ,  нехудожественная 	дневник, записные книжки 	 	Записки современника 	1955 	 «Блины блинами, ― сказал отец Григорий, ― а речь речью.  [С. П. Жихарев. Записки современника (1806-1809)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Боевики 	  	боевиками, но начальству не объяснишь 	Вадим Громов. Компромат для олигарха (2000) 	Вадим Громов 	 	Компромат для олигарха 	2000 	художественная 	роман 	 	Вадим Громов. Компромат для олигарха 	2000 	 Боевики боевиками, но начальству не объяснишь, отчего он отдал всю инициативу Каменской!  [Вадим Громов. Компромат для олигарха (2000)] [омонимия не снята]
