Semantics,Syntax,Semantic_classes_of_nouns,Pejorative,Chained,Associated_verbs,Left_context,Center,Right_context,Full_context,Author,Created,Publ_year,Left_context_tags,Right_context_tags,Verb_tags,Left_context_tags_norm,Right_context_tags_norm
Abundance,Ins verb-governed,Concrete,yes,no,стоять,  Что народушку!  Стоят — , стена ,стеной — плачут!  Я ушел — невозможно , Что народушку!  Стоят — стена-стеной — плачут!  Я ушел — невозможно.  ,Вас. И. Немирович-Данченко ,1886 ,2013 ,"[OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc'), OpencorporaTag('NPRO,1per sing,nomn'), OpencorporaTag('VERB,perf,intr masc,sing,past,indc'), OpencorporaTag('ADVB,Prdx')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,gent'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('NPRO,1per sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADVB,Prdx')]"
Abundance,Ins verb-governed,Substances,no,no,оборачиваться," там у озера оборачиваются голубями, ― ", туча ,тучей стадо голубей.  ," А мимо их народ, много народа, как на Невском, спешат, перегоняют, бегут и бегут, хвосты долгие волокутся, и все с горы в озеро и там у озера оборачиваются голубями, ― туча тучей стадо голубей.  ",А. М. Ремизов ,1910 ,2002 ,"[OpencorporaTag('ADVB,Dmns'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,neut sing,gent'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc'), OpencorporaTag('NOUN,anim,masc plur,ablt')]","[OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('VERB,impf,intr sing,impr,excl')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('ADVB,Dmns'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('NOUN,anim,masc sing,nomn')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('INFN,impf,intr')]"
Extreme,Ins verb-governed,Concrete,no,no,начать," не чувствуя под собой ног, ", автомат ,автоматом.  ,"  Я начал, не чувствуя под собой ног, автомат автоматом.  ",Михаил Козаков ,1978-1995 ,1998 ,"[OpencorporaTag('PRCL'), OpencorporaTag('GRND,impf,tran pres'), OpencorporaTag('PREP'), OpencorporaTag('NPRO,Anph sing,ablt'), OpencorporaTag('NOUN,inan,femn plur,gent')]","[OpencorporaTag('NOUN,inan,masc sing,ablt')]","[OpencorporaTag('INFN,perf,tran')]","[OpencorporaTag('PRCL'), OpencorporaTag('INFN,impf,tran'), OpencorporaTag('PREP'), OpencorporaTag('NPRO,Anph sing,accs'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,inan,masc sing,accs')]"
Extreme,Ins verb-governed,Human + animals,no,no,стать, но вышла замуж и стала , баба ,"бабой, откроет пасть эта нимфетка "," Испорченная-то Надя испорченная, но вышла замуж и стала баба бабой, откроет пасть эта нимфетка и поет: то-то она сварила, так-то Андрей пил и она его не пускала больше пить, то-то они купили.  ",Людмила Петрушевская ,1987 ,2001 ,"[OpencorporaTag('CONJ'), OpencorporaTag('VERB,perf,intr femn,sing,past,indc'), OpencorporaTag('ADVB'), OpencorporaTag('CONJ'), OpencorporaTag('VERB,perf,intr femn,sing,past,indc')]","[OpencorporaTag('NOUN,anim,femn sing,ablt'), OpencorporaTag('VERB,perf,tran sing,3per,futr,indc'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADJF,Apro,Subx,Anph femn,sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADVB'), OpencorporaTag('CONJ'), OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('INFN,perf,tran'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('ADJF,Apro,Subx,Anph inan,masc,sing,accs'), OpencorporaTag('NOUN,inan,femn sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,выйти,  Вышел , баба ,"бабой, только сутулый и косолапый "," Вышел баба бабой, только сутулый и косолапый, а тигры его не узнали: налетели, содрали одежду.  ",Вальтер Запашный ,1998-2004 ,2004 ,"[OpencorporaTag('VERB,perf,intr masc,sing,past,indc')]","[OpencorporaTag('NOUN,anim,femn sing,ablt'), OpencorporaTag('PRCL'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADJF,Qual masc,sing,nomn')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('PRCL'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADJF,Qual masc,sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,no,no,идти, народ расступается; идешь по церкви , барин ,барином!  ," приедешь в собор ― у дверей встречает частный пристав, народ расступается; идешь по церкви барин барином!  ",М. Н. Загоскин ,1830 ,1980 ,"[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('VERB,impf,intr sing,3per,pres,indc'), OpencorporaTag('VERB,impf,intr sing,2per,pres,indc'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,gent')]","[OpencorporaTag('NOUN,anim,masc sing,ablt')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,взяться, заря на глухой проселочной дороге ― , барин ,барином?  ,  Нищий недоуменно оглянул Грача: откуда такой взялся ни свет ни заря на глухой проселочной дороге ― барин барином?  ,С. Д. Мстиславский ,1937 ,1975 ,"[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Subx,Qual masc,sing,nomn'), OpencorporaTag('ADJF femn,sing,gent'), OpencorporaTag('NOUN,inan,femn sing,datv')]","[OpencorporaTag('NOUN,anim,masc sing,ablt')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Subx,Qual masc,sing,nomn'), OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,вернуться," горницу, ― с плену возвернулся ― и ", барин ,барином!  ," Мой-то, мой-то, ― кивнула она на плотно прикрытые двери в горницу, ― с плену возвернулся ― и барин барином!  ",Виктор Астафьев ,1987-1997 ,1998 ,"[OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,accs'), OpencorporaTag('VERB,perf,intr masc,sing,past,indc'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,anim,masc sing,ablt')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('CONJ')]","[OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,yes,no,ходить,  Ходят ― , баркас ,"баркасом, перекачиваются, ― девкам и сласть "," Ходят ― баркас баркасом, перекачиваются, ― девкам и сласть, и гибель.  ",И. С. Шмелев ,1923 ,2000 ,"[OpencorporaTag('VERB,impf,intr plur,3per,pres,indc')]","[OpencorporaTag('NOUN,inan,masc sing,ablt'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc'), OpencorporaTag('NOUN,anim,femn plur,datv'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,masc sing,nomn'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('NOUN,inan,femn sing,nomn')]"
Extreme,Ins verb-governed,Human + animals,no,no,стать,   Стала она Марьей Андреевной ― «, барышня ,"барышней», ― вспомнились Пахомычу слова горбуна ","  Стала она Марьей Андреевной ― «барышня барышней», ― вспомнились Пахомычу слова горбуна.  ",Н. Э. Гейнце ,1898 ,1994 ,"[OpencorporaTag('VERB,perf,intr femn,sing,past,indc'), OpencorporaTag('NPRO,femn,3per,Anph sing,nomn'), OpencorporaTag('NOUN,anim,femn,Name sing,ablt'), OpencorporaTag('NOUN,anim,femn,Patr sing,ablt')]","[OpencorporaTag('NOUN,anim,femn sing,ablt'), OpencorporaTag('VERB,perf,intr plur,past,indc'), OpencorporaTag('VERB,impf,intr sing,1per,pres,indc'), OpencorporaTag('NOUN,inan,neut sing,gent'), OpencorporaTag('NOUN,anim,masc sing,gent')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('INFN,perf,intr'), OpencorporaTag('NPRO,femn,3per,Anph sing,nomn'), OpencorporaTag('NOUN,anim,femn,Name sing,nomn'), OpencorporaTag('NOUN,anim,masc,Name sing,nomn')]","[OpencorporaTag('NOUN,anim,femn sing,nomn'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('INFN,impf,intr'), OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Abstract,yes,no,расти," третьего сына?   Младшенький, Геннадий, рос ", беда ,бедою.  На тощее его тело ," Может быть, она перенеслась мыслями в тот день, перед самой войной, когда своему Изоту Кондратьевичу родила третьего сына?   Младшенький, Геннадий, рос беда бедою.  На тощее его тело (чем кормить-то в оккупацию?  ",Вадим Пеунов ,1978 ,1978 ,"[OpencorporaTag('NOUN,inan,neut sing,gent'), OpencorporaTag('NOUN,anim,masc sing,gent'), OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,anim,masc,Name sing,nomn'), OpencorporaTag('VERB,impf,intr masc,sing,past,indc')]","[OpencorporaTag('NOUN,inan,femn sing,ablt,V-oy'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual neut,sing,nomn'), OpencorporaTag('NPRO,masc,3per,Anph sing,accs'), OpencorporaTag('NOUN,inan,neut sing,accs')]","[OpencorporaTag('VERB,impf,tran sing,impr,excl')]","[OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('ADJF masc,sing,nomn'), OpencorporaTag('NOUN,anim,masc,Name sing,nomn'), OpencorporaTag('VERB,impf,tran sing,impr,excl')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('ADJF,Qual masc,sing,nomn'), OpencorporaTag('NPRO,masc,3per,Anph sing,nomn'), OpencorporaTag('NOUN,inan,neut sing,accs')]"
Extreme,Ins verb-governed,Human + animals,yes,no,остаться, Так вот и остался я , бобыль ,"бобылем, в тоске, слова не "," Так вот и остался я бобыль бобылем, в тоске, слова не с кем сказать, а я человек старый и немощный, вот скоро семьдесят лет исполнится, а ведь и в божьем писании сказано: «Что больше того, один труд и болезнь».  ",П. И. Мельников-Печерский ,1875-1881 ,1976 ,"[OpencorporaTag('CONJ'), OpencorporaTag('PRCL'), OpencorporaTag('CONJ'), OpencorporaTag('VERB,perf,intr masc,sing,past,indc'), OpencorporaTag('NPRO,1per sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,ablt'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn,Sgtm sing,datv'), OpencorporaTag('NOUN,inan,neut sing,gent'), OpencorporaTag('PRCL')]","[OpencorporaTag('INFN,perf,intr')]","[OpencorporaTag('CONJ'), OpencorporaTag('PRCL'), OpencorporaTag('CONJ'), OpencorporaTag('INFN,perf,intr'), OpencorporaTag('NPRO,1per sing,nomn')]","[OpencorporaTag('NOUN,anim,masc sing,nomn'), OpencorporaTag('PREP'), OpencorporaTag('NOUN,inan,femn,Sgtm sing,nomn'), OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('PRCL')]"
Extreme,Ins verb-governed,Human + animals,yes,no,приезжать, щепка щепкой и откуда приезжают , боров ,боровом.  ,"  Но Никишку черныги совсем не занимали: мысли его были далеко, в Крыму, в сказочной Ялте, куда уезжают щепка щепкой и откуда приезжают боров боровом.  ",С. Н. Сергеев-Ценский ,1902 ,1967 ,"[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('ADVB,Ques'), OpencorporaTag('VERB,impf,intr plur,3per,pres,indc')]","[OpencorporaTag('NOUN,anim,masc sing,ablt')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('NOUN,inan,femn sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('ADVB,Ques'), OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,anim,masc sing,nomn')]"
Extreme,Ins verb-governed,Concrete,no,no,лежать,  Лежишь , бревно ,"бревном, и ничего не чувствуешь "," Лежишь бревно бревном, и ничего не чувствуешь…  ",Вячеслав Рыбаков ,1998 , ,"[OpencorporaTag('VERB,impf,intr sing,2per,pres,indc')]","[OpencorporaTag('NOUN,inan,neut sing,ablt'), OpencorporaTag('CONJ'), OpencorporaTag('NPRO,neut sing,gent'), OpencorporaTag('PRCL'), OpencorporaTag('VERB,impf,tran sing,2per,pres,indc')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('INFN,impf,intr')]","[OpencorporaTag('NOUN,inan,neut sing,nomn'), OpencorporaTag('CONJ'), OpencorporaTag('NPRO,neut sing,nomn'), OpencorporaTag('PRCL'), OpencorporaTag('INFN,impf,tran')]"
