Semantics	Syntax	Semantic_classes_of_nouns	Pejorative	Chained	Associated_verbs	Left_context	Center	Punct	Right_context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Full_context
Extreme	Ins verb-governed	Concrete	no	no	начать	 не чувствуя под собой ног, 	 автомат 	  	автоматом.  	Михаил Козаков. Актерская книга (1978-1995) 	Михаил Козаков 	1934 	Актерская книга 	1978-1995 	публицистика ,  нехудожественная 	мемуары 	 	Михаил Козаков. Актерская книга 	1998 	  Я начал, не чувствуя под собой ног, автомат автоматом.  [Михаил Козаков. Актерская книга (1978-1995)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	yes	no	стать	 но вышла замуж и стала 	 баба 	  	бабой, откроет пасть эта нимфетка 	Людмила Петрушевская. Свой круг (1987) 	Людмила Петрушевская 	1938 	Свой круг 	1987 	художественная 	повесть 	 	Петрушевская Л. Такая девочка 	2001 	 Испорченная-то Надя испорченная, но вышла замуж и стала баба бабой, откроет пасть эта нимфетка и поет: то-то она сварила, так-то Андрей пил и она его не пускала больше пить, то-то они купили.  [Людмила Петрушевская. Свой круг (1987)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	yes	no	выйти	  Вышел 	 баба 	  	бабой, только сутулый и косолапый 	Вальтер Запашный. Риск. Борьба. Любовь (1998-2004) 	Вальтер Запашный 	1928 	Риск. Борьба. Любовь 	1998-2004 	публицистика ,  нехудожественная 	мемуары 	 	Вальтер Запашный. Риск. Борьба. Любовь 	2004 	 Вышел баба бабой, только сутулый и косолапый, а тигры его не узнали: налетели, содрали одежду.  [Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	no	no	идти	" народ расступается; идешь по церкви "	 барин 	  	барином!  	М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830) 	М. Н. Загоскин 	1789 	Рославлев, или Русские в 1812 году 	1830 	художественная 	роман 	 	М. Н. Загоскин. Рославлев, или русские в 1812 году 	1980 	" приедешь в собор ― у дверей встречает частный пристав, народ расступается; идешь по церкви барин барином!  [М. Н. Загоскин. Рославлев, или Русские в 1812 году (1830)] [омонимия не снята]"
Extreme	Ins verb-governed	Human + animals	no	no	взяться	 заря на глухой проселочной дороге ― 	 барин 	  	барином?  	С. Д. Мстиславский. Грач ― птица весенняя (1937) 	С. Д. Мстиславский 	1876 	Грач ― птица весенняя 	1937 	художественная 	повесть 	 	Мстиславский С. Грач ― птица весенняя 	1975 	  Нищий недоуменно оглянул Грача: откуда такой взялся ни свет ни заря на глухой проселочной дороге ― барин барином?  [С. Д. Мстиславский. Грач ― птица весенняя (1937)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	no	no	вернуться	 горницу, ― с плену возвернулся ― и 	 барин 	  	барином!  	Виктор Астафьев. Веселый солдат (1987-1997) // «Новый Мир», 1998 	Виктор Астафьев 	1924 	Веселый солдат 	1987-1997 	художественная 	рассказ 	 	«Новый Мир» 	1998 	 Мой-то, мой-то, ― кивнула она на плотно прикрытые двери в горницу, ― с плену возвернулся ― и барин барином!  [Виктор Астафьев. Веселый солдат (1987-1997) // «Новый Мир», 1998] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	no	no	ходить	  Ходят ― 	 баркас 	  	баркасом, перекачиваются, ― девкам и сласть 	И. С. Шмелев. Солнце мертвых (1923) 	И. С. Шмелев 	1873 	Солнце мертвых 	1923 	художественная 	роман 	 	Иван Шмелев. Солнце мертвых 	2000 	 Ходят ― баркас баркасом, перекачиваются, ― девкам и сласть, и гибель.  [И. С. Шмелев. Солнце мертвых (1923)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	no	no	стать	   Стала она Марьей Андреевной ― «	 барышня 	  	барышней», ― вспомнились Пахомычу слова горбуна 	Н. Э. Гейнце. Коронованный рыцарь (1898) 	Н. Э. Гейнце 	1852 	Коронованный рыцарь 	1898 	художественная 	роман 	 	Гейнце Н. Э. Собрание сочинений: В 7 т. Т. 3: Князь Тавриды: Роман. Коронованный рыцарь: Роман 	1994 	  Стала она Марьей Андреевной ― «барышня барышней», ― вспомнились Пахомычу слова горбуна.  [Н. Э. Гейнце. Коронованный рыцарь (1898)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract		no	расти	 третьего сына?   Младшенький, Геннадий, рос 	 беда 	  	бедою.  На тощее его тело 	Вадим Пеунов. Дело принял адвокат (1978) 	Вадим Пеунов 	1923 	Дело принял адвокат 	1978 	художественная 	повесть 	 	Приключения 	1978 	 Может быть, она перенеслась мыслями в тот день, перед самой войной, когда своему Изоту Кондратьевичу родила третьего сына?   Младшенький, Геннадий, рос беда бедою.  На тощее его тело (чем кормить-то в оккупацию?  [Вадим Пеунов. Дело принял адвокат (1978)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	остаться	 Так вот и остался я 	 бобыль 	  	бобылем, в тоске, слова не 	П. И. Мельников-Печерский. На горах. Книга вторая (1875-1881) 	П. И. Мельников-Печерский 	1818 	На горах. Книга вторая 	1875-1881 	художественная 	роман 	 	П. И. Мельников-Печерский. Собрание сочинений 	1976 	 Так вот и остался я бобыль бобылем, в тоске, слова не с кем сказать, а я человек старый и немощный, вот скоро семьдесят лет исполнится, а ведь и в божьем писании сказано: «Что больше того, один труд и болезнь».  [П. И. Мельников-Печерский. На горах. Книга вторая (1875-1881)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	приезжать	 щепка щепкой и откуда приезжают 	 боров 	  	боровом.  	С. Н. Сергеев-Ценский. Счастье (1902) 	С. Н. Сергеев-Ценский 	1875 	Счастье 	1902 	художественная 	рассказ 	 	Сергеев-Ценский С. Н. Собрание сочинений. В 12 томах. Т. 1 	1967 	  Но Никишку черныги совсем не занимали: мысли его были далеко, в Крыму, в сказочной Ялте, куда уезжают щепка щепкой и откуда приезжают боров боровом.  [С. Н. Сергеев-Ценский. Счастье (1902)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete		no	лежать	  Лежишь 	 бревно 	  	бревном, и ничего не чувствуешь 	Вячеслав Рыбаков. Хроники смутного времени (1998) 	Вячеслав Рыбаков 	1954 	Хроники смутного времени 	1998 	художественная 	повесть 	 	 	 	 Лежишь бревно бревном, и ничего не чувствуешь…  [Вячеслав Рыбаков. Хроники смутного времени (1998)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	сидеть	 взглянешь…  Сидишь рядом со мной 	 бука 	  	букой.   Костя поднял на нее 	Н. Э. Гейнце. Людоедка (1898) 	Н. Э. Гейнце 	1852 	Людоедка 	1898 	художественная 	роман 	 	йнце Н. Собрание сочинений: В 7 т. Т. 1 	1994 	 А ты за это на меня и не взглянешь…  Сидишь рядом со мной бука букой.   Костя поднял на нее свои глаза, но в них она прочла такой испуг, что сама невольно отодвинулась от него.  [Н. Э. Гейнце. Людоедка (1898)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	no	no	сидеть	  Ты вот сидишь 	 бык 	  	быком, глаза на меня пучишь 	Виль Липатов. Деревенский детектив/ Кто уезжает, а кто остается... (1967-1968) 	Виль Липатов 	1927 	Деревенский детектив/ Кто уезжает, а кто остается... 	1967-1968 	художественная 	рассказ 	 	Липатов В. Собр. соч.: В 4-х т. Т. 2 	1983 	 Ты вот сидишь бык быком, глаза на меня пучишь, а никто тебя не боится ― через все видать, что ты добрый, что ты страх только для вида напускаешь…  [Виль Липатов. Деревенский детектив/ Кто уезжает, а кто остается... (1967-1968)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	стать	 отъѣлся на острожныхъ-то калачахъ ― 	 быкъ 	  	быкомъ сталъ.  	П. И. Мельников-Печерский. Дѣдушка Поликарпъ. Разсказъ // «Русский вестник», 1857 	П. И. Мельников-Печерский 	1818 	Дѣдушка Поликарпъ. Разсказъ 	1857 	художественная 	рассказ 	 	«Русский вестник» 	1857 	" Посадили Прошку въ острогъ; сидитъ годъ, сидитъ другой, отъѣлся на острожныхъ-то калачахъ ― быкъ быкомъ сталъ.  [П. И. Мельников-Печерский. Дѣдушка Поликарпъ. Разсказъ // «Русский вестник», 1857] [омонимия не снята]"
Extreme	Ins verb-governed	Concrete	no	no	вздуться	 так что на сером тулуп 	 гора 	- 	горой вздулся, ― а на нем 	В. И. Даль. Сказка о Георгии Храбром и о волке (1836) 	В. И. Даль 	1801 	Сказка о Георгии Храбром и о волке 	1836 	художественная 	сказка 	 	В. И. Даль (Казак Луганский). Повести. Рассказы. Очерки. Сказки 	1961 	" Он бы за тем не очень погнался, что ему на первый раз поиграли в два смычка на кожаном гудке, причем мишка с отборным товарищем исправляли должность ката и, присев на корточки, надев рукавицы и засучив рукава, отсчитали серому честно и добросовестно сто один по приговору, так что на сером тулуп гора-горой вздулся, ― а на нем шкура, правда, и не черного соболя, да своя  , ― ну, это бы, говорю, все ничего, да ему то обидно было, что и вперед не велели таскать сайгаков, а на спрос: ""Чем ему кормиться?""  [В. И. Даль. Сказка о Георгии Храбром и о волке (1836)] [омонимия не снята]"
Extreme	Ins verb-governed	Concrete	no	no	изобразить	 какой-то вершник в латах и 	 гора 	- 	горой головы зрителей, с подписью 	В. И. Даль. Бедовик (1839) 	В. И. Даль 	1801 	Бедовик 	1839 	художественная 	повесть 	 	В. И. Даль (Казак Луганский). Повести. Рассказы. Очерки. Сказки 	1961 	" Власов тряхнул его раза два и с замечанием: ""Малое толико движение дает"" ― поставил опять на место и приткнул сбоку дорожным, розовой лайки, кисетом своим, на котором изображен был какой-то вершник в латах и гора-горой головы зрителей, с подписью: турнил На художническом произведении, на кисете этом, не взыщите за отступление, употреблено было всуе имя одного почтенного московского цензора.  [В. И. Даль. Бедовик (1839)] [омонимия не снята]"
Extreme	Ins verb-governed	Concrete	no	no	топорщиться	   Дома 	 гора 	  	горой топорщились и чванились, словно 	Андрей Белый. Симфония (1901) 	Андрей Белый 	1880 	Симфония 	1901 	художественная 	повесть 	 	Андрей Белый. Старый Арбат: Повести 	1989 	  Дома гора горой топорщились и чванились, словно откормленные свиньи.  [Андрей Белый. Симфония (1901)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	подвигаться	  Покачиваясь, скрипя, 	 гора 	  	горой подвигается наметанный на арбу 	А. С. Серафимович. Качающийся фонарь (1909) 	А. С. Серафимович 	1863 	Качающийся фонарь 	1909 	художественная 	рассказ 	 	А. С. Серафимович. Собр. соч.: В 4 т. Т. 4 	1980 	 Покачиваясь, скрипя, гора горой подвигается наметанный на арбу хлеб.  [А. С. Серафимович. Качающийся фонарь (1909)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	лежать	  Чиркну спичкой, лежит он 	 гора 	  	горой, лицо с подушку, и 	А. С. Серафимович. Мышиное царство (1913) 	А. С. Серафимович 	1863 	Мышиное царство 	1913 	художественная 	рассказ 	 	А. С. Серафимович. Собр. соч.: В 4 т. Т. 4 	1980 	 Чиркну спичкой, лежит он гора горой, лицо с подушку, и глаз один смотрит, ― сам спит, а глаз смотрит…  [А. С. Серафимович. Мышиное царство (1913)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	намести	 ворочает.  Вокруг березы снегу намело 	 гора 	 ―  	горой.  В снегу чуть не 	П. П. Бажов. Огневушка-Поскакушка (1940) 	П. П. Бажов 	1878 	Огневушка-Поскакушка 	1940 	художественная 	сказ 	 	Бажов П. Сочинения: В 3 т 	1986 	 Кричать ― не кричит, а башкой ворочает.  Вокруг березы снегу намело гора ― горой.  В снегу чуть не по горло провалился Федюнька и лопаткой на филина машет.  [П. П. Бажов. Огневушка-Поскакушка (1940)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	ползти	 неживая.  Снегу около нее намело 	 гора 	- 	горой.  Клубочек подкатился к этой 	П. П. Бажов. Огневушка-Поскакушка (1940) 	П. П. Бажов 	1878 	Огневушка-Поскакушка 	1940 	художественная 	сказ 	 	Бажов П. Сочинения: В 3 т 	1986 	 Посредине пустоплесья береза старая, будто и вовсе неживая.  Снегу около нее намело гора-горой.  Клубочек подкатился к этой березе да вокруг нее и кружится.  [П. П. Бажов. Огневушка-Поскакушка (1940)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	ползти	  Дальше и вовсе 	 гора 	- 	горой ползет, и лапти у 	П. П. Бажов. Жабреев ходок (1942) 	П. П. Бажов 	1878 	Жабреев ходок 	1942 	художественная 	сказ 	 	Бажов П. Сочинения: В 3 т 	1986 	 Дальше и вовсе гора-горой ползет, и лапти у него, может, по пуду, а то больше.  [П. П. Бажов. Жабреев ходок (1942)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete	no	no	стать	 сам глаза закрыл и стал 	 гора 	  	горой.  	П. П. Бажов. Богатырева рукавица (1944) 	П. П. Бажов 	1878 	Богатырева рукавица 	1944 	художественная 	сказ 	 	Бажов П. Сочинения: В 3 т. Т.1 	1986 	 Утешил ты меня, утешил, ― говорит старый богатырь, а сам глаза закрыл и стал гора горой.  [П. П. Бажов. Богатырева рукавица (1944)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete		no	выйти	 говорил про обручив, а вышел 	 гроза 	  	грозой, и Княжна словно не 	А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837) 	А. Ф. Вельтман 	1800 	Светославич, вражий питомец Диво времен Красного Солнца Владимира 	1837 	художественная 	роман 	 	Вельтман А. Ф. Романы 	1985 	 ― Князь говорил про обручив, а вышел гроза грозой, и Княжна словно не своя!..»  [А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837)] [омонимия не снята]
Extreme	Ins verb-governed	Concrete		no	сойти	   	 Гроза 	  	грозой сошел Светославич с крыльца 	А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837) 	А. Ф. Вельтман 	1800 	Светославич, вражий питомец Диво времен Красного Солнца Владимира 	1837 	художественная 	роман 	 	Вельтман А. Ф. Романы 	1985 	"  Гроза грозой сошел Светославич с крыльца; голова его кружится, очи горят.  [А. Ф. Вельтман. Светославич, вражий питомец Диво времен Красного Солнца Владимира (1837)] [омонимия не снята]"
Extreme	Ins verb-governed	Concrete		no	бороться	  Здесь Россия 	 грудь 	  	грудью боролась с половиной Западной 	Е. А. Соловьев-Андреевич. Л. Н. Толстой. Его жизнь и литературная деятельность (1895) 	Е. А. Соловьев-Андреевич 	1867 	Л. Н. Толстой. Его жизнь и литературная деятельность 	1895 	публицистика ,  нехудожественная 	монография 	искусство и культура 	Соловьев Е. А. Л. Н. Толстой, его жизнь и литературная деятельность 	1897 	 Здесь Россия грудь грудью боролась с половиной Западной Европы, гораздо более культурной, лучше ее вооруженной, богатой и многочисленной, и война была страшная, грандиозная, хотя и сосредоточившаяся на ничтожном пространстве земли.  [Е. А. Соловьев-Андреевич. Л. Н. Толстой. Его жизнь и литературная деятельность (1895)] [омонимия не снята]
Extreme	Ins verb-governed	Substances		no	стать	 ведут себя халды халдами, стали 	 грязь 	  	грязью.  	А. В. Амфитеатров. Марья Лусьева (1903) 	А. В. Амфитеатров 	1862 	Марья Лусьева 	1903, 1927 	художественная 	роман 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 2 	2000 	 А сейчас ― Антонинкину школу прошли ― ведут себя халды халдами, стали грязь грязью.  [А. В. Амфитеатров. Марья Лусьева (1903)] [омонимия не снята]
Extreme	Ins verb-governed	Substances		no	явиться	  Явился…  	 Дерьмо 	  	дерьмом.  И снаружи, и внутри 	Елена Хаецкая. Мракобес/ Дорога (1997) 	Елена Хаецкая 	1963 	Мракобес/ Дорога 	1997 	художественная 	повесть 	 	Хаецкая Е. Мракобес. ― СПб: Азбука, 1997 	1997 	 Явился…  Дерьмо дерьмом.  И снаружи, и внутри.  [Елена Хаецкая. Мракобес/ Дорога (1997)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals		no	жить	 эстетики и живет в быту 	 дикарь 	  	дикарем, Гончаров пишет: «Переложи ты 	Светлана Клишина. Мода как ристалище (2003) // Интернет-альманах «Лебедь», 2003.05.12 	Светлана Клишина 	 	Мода как ристалище 	2003 	публицистика ,  нехудожественная 	статья 	искусство и культура 	Интернет-альманах «Лебедь» 	2003.05.12 	 Упрекая своего адресата за то, что зная греческую и римскую историю, не постиг ее эстетики и живет в быту дикарь дикарем, Гончаров пишет: «Переложи ты эти купальни, пиры, ткани и прочее на новейшие нравы ― и выйдет тонкое белье, изящный и свежий покрой платья, тонкий, здоровый стол, наконец, умягченные нравы, человеческое обхождение между собою ― словом, умение жить».  [Светлана Клишина. Мода как ристалище (2003) // Интернет-альманах «Лебедь», 2003.05.12] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	выйти	 человека, очень любил…  Вышел тоже 	 дрянь 	  	дрянью.   ― То есть как же 	А. А. Григорьев. Мое знакомство с Виталиным (1845) 	А. А. Григорьев 	1822 	Мое знакомство с Виталиным 	1845 	публицистика ,  нехудожественная 	мемуары 	 	Аполлон Григорьев. Воспоминания 	1980 	 Он был в Москве учителем ― и в то время даже еще, как я хаживал к вам, да и чуть ли я тогда вам о нем не рассказывал, тем больше, что я любил тогда этого человека, очень любил…  Вышел тоже дрянь дрянью.   ― То есть как же это?  [А. А. Григорьев. Мое знакомство с Виталиным (1845)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	остаться	 вдруг пропало, и остался он 	 дрянь 	  	дрянью, что называется,гол  как 	М. Е. Салтыков-Щедрин. Невинные рассказы / Запутанное дело (1848-1863) 	М. Е. Салтыков-Щедрин 	1826 	Невинные рассказы / Запутанное дело 	1848-1863 	художественная 	рассказ 	 	М. Е. Салтыков-Щедрин. Собр. соч.: В 20 т. Т.3 	1965 	 Со слезами на глазах и униженно кланяясь, показывает он седому приказчику дырявые карманы своего пальто, тщетно доказывая, что не виноват же он, что за минуту перед тем имел и бобровый воротник, и испанскую звезду, и одутловатые щеки, и что все это, по ухищрениям одной злобной волшебницы, которая давно уж денно и нощно его преследует, вдруг пропало, и остался он дрянь дрянью, что называется,гол  как сокол, пушист как лягушка.  [М. Е. Салтыков-Щедрин. Невинные рассказы / Запутанное дело (1848-1863)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	сделаться	 просто ничего не останется, просто 	 дрянь 	  	дрянью сделаюсь!..  	М. Е. Салтыков-Щедрин. Невинные рассказы / Запутанное дело (1848-1863) 	М. Е. Салтыков-Щедрин 	1826 	Невинные рассказы / Запутанное дело 	1848-1863 	художественная 	рассказ 	 	М. Е. Салтыков-Щедрин. Собр. соч.: В 20 т. Т.3 	1965 	 то есть, отнимите у меня братство ― просто ничего не останется, просто дрянь дрянью сделаюсь!..  [М. Е. Салтыков-Щедрин. Невинные рассказы / Запутанное дело (1848-1863)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	оказаться	   Квартира оказалась 	 дрянь 	- 	дрянью, какие-то косые стены, покоробившиеся 	В. Г. Авсеенко. Петербургские очерки (1900) 	В. Г. Авсеенко 	1842 	Петербургские очерки 	1900 	художественная 	очерк, цикл 	 	Авсеенко В. Г. Петербургские очерки 	1900 	  Квартира оказалась дрянь-дрянью, какие-то косые стены, покоробившиеся двери, темнота и грязь.  [В. Г. Авсеенко. Петербургские очерки (1900)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	выйти	  Легла ― только несчастною, вышла ― 	 дрянь 	  	дрянью: и лгунья, и воровка 	А. В. Амфитеатров. Марья Лусьева за границей (1911) 	А. В. Амфитеатров 	1862 	Марья Лусьева за границей 	1911 	художественная 	роман 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 2 	2000 	 Легла ― только несчастною, вышла ― дрянь дрянью: и лгунья, и воровка, и похабница, и уже непременно обзавелась подругою, которая ее совсем забубенною делает и на самое дно тянет.  [А. В. Амфитеатров. Марья Лусьева за границей (1911)] [омонимия не снята]
Extreme	Ins verb-governed	Abstract	yes	no	оказаться	 делам оказался до сих пор 	 дрянь 	  	дрянью.  	епископ Вениамин (Милов). Дневник инока. Письма из ссылки (1950) 	епископ Вениамин (Милов) 	1887 	Дневник инока. Письма из ссылки 	1950 	бытовая, нехудожественная 	письмо 	частная жизнь, религия 	 	 	 Всю жизнь хотел быть аккуратным, а по делам оказался до сих пор дрянь дрянью.  [епископ Вениамин (Милов). Дневник инока. Письма из ссылки (1950)] [омонимия не снята]
Extreme	Ins verb-governed	Human + animals	yes	no	сидеть	 А то сидишь в карете 	 дура 	  	дурой.  	Е. А. Салиас. На Москве (1880) 	Е. А. Салиас 	1842 	На Москве 	1880 	художественная 	роман 	 	Салиас Е. Сочинения в 2 т. Т. 2 	1991 	 А то сидишь в карете дура дурой.  [Е. А. Салиас. На Москве (1880)] [омонимия не снята]
